89,Constantia,Regular,constan.ttf,0,Constantia,Constantia,Constantia,1,Constantia,0,400,2,536871327,0,2684355311,1073750091,0,0,
90,Constantia,Bold,constanb.ttf,0,Constantia,Constantia-Bold,Constantia Bold,2,Constantia,Constantia-Bold,0,700,262146,536871327,0,2684355311,1073750091,0,0,
91,Constantia,Italic,constani.ttf,0,Constantia,Constantia-Italic,Constantia Italic,2,Constantia,Constantia-Italic,1,400,66,536871327,0,2684355311,1073750091,0,0,
92,Constantia,Bold Italic,constanz.ttf,0,Constantia,Constantia-BoldItalic,Constantia Bold Italic,2,Constantia,Constantia-BoldItalic,1,700,262210,536871327,0,2684355311,1073750091,0,0,
93,Cooper Black,Regular,COOPBL.TTF,0,Cooper Black,CooperBlack,Cooper Black,2,Cooper Black,CooperBlack,0,400,2,536870913,0,3,0,0,0,
94,Copperplate Gothic Bold,Regular,COPRGTB.TTF,0,Copperplate Gothic Bold,CopperplateGothic-Bold,Copperplate Gothic Bold,2,Copperplate Gothic Bold,CopperplateGothic-Bold,0,700,262146,536870913,0,3,0,0,0,
95,Copperplate Gothic Light,Regular,COPRGTL.TTF,0,Copperplate Gothic Light,CopperplateGothic-Light,Copperplate Gothic Light,2,Copperplate Gothic Light,CopperplateGothic-Light,0,400,2,536870913,0,3,0,0,0,
96,Corbel,Regular,corbel.ttf,0,Corbel,Corbel,Corbel,1,Corbel,0,400,0,536871327,0,2684355311,1073783883,0,0,
97,Corbel,Bold,corbelb.ttf,0,Corbel,Corbel-Bold,Corbel Bold,2,Corbel,Corbel-Bold,0,700,262144,536871327,0,2684355311,1073783883,0,0,
98,Corbel,Italic,corbeli.ttf,0,Corbel,Corbel-Italic,Corbel Italic,2,Corbel,Corbel-Italic,1,400,64,536871327,0,2684355311,1073783883,0,0,
99,Corbel Light,Regular,corbell.ttf,0,Corbel Light,CorbelLight,Corbel Light,2,Corbel Light,CorbelLight,0,300,0,536871327,0,2684355311,1073783883,0,0,
100,Corbel Light,Italic,corbelli.ttf,0,Corbel Light,CorbelLight-Italic,Corbel Light Italic,2,Corbel Light,CorbelLight-Italic,1,300,64,536871327,0,2684355311,1073783883,0,0,
101,Corbel,Bold Italic,corbelz.ttf,0,Corbel,Corbel-BoldItalic,Corbel Bold Italic,2,Corbel,Corbel-BoldItalic,1,700,262208,536871327,0,2684355311,1073783883,0,0,
102,Courier New,Regular,cour.ttf,0,Courier New,CourierNewPSMT,Courier New,2,Courier New,CourierNewPSMT,0,400,3,1073742335,4294901760,3758108415,3221256259,9,0,
103,Courier New,Bold,courbd.ttf,0,Courier New,CourierNewPS-BoldMT,Courier New Bold,3,Courier New,CourierNewPS-BoldMT,Courier New Bold,0,700,262147,1073742335,4294901760,3758108415,3221256259,9,0,
104,Courier New,Bold Italic,courbi.ttf,0,Courier New,CourierNewPS-BoldItalicMT,Courier New Bold Italic,3,Courier New,CourierNewPS-BoldItalicMT,Courier New Bold Italic,1,700,262211,1073742271,3757506560,3758100223,1073772611,1,0,
105,Courier New,Italic,couri.ttf,0,Courier New,CourierNewPS-ItalicMT,Courier New Italic,3,Courier New,CourierNewPS-ItalicMT,Courier New Italic,1,400,67,1073742271,3757506560,3758100223,1073772611,1,0,
106,Curlz MT,Regular,CURLZ___.TTF,0,Curlz MT,CurlzMT,Curlz MT,2,Curlz MT,CurlzMT,0,400,0,536870913,0,3,0,0,0,
107,DengXian,Regular,Deng.ttf,0,DengXian,DengXian,DengXian,3,DengXian,DengXian Regular,等线,0,400,0,262159,0,2684355263,953122042,22,0,
108,DengXian,Bold,Dengb.ttf,0,DengXian,DengXian-Bold,DengXian Bold,4,DengXian,DengXian-Bold,等线,等线 Bold,0,700,262144,262159,0,2684355263,953122042,22,0,
109,DengXian Light,Regular,Dengl.ttf,0,DengXian Light,DengXian-Light,DengXian Light,3,DengXian Light,DengXian-Light,等线 Light,0,300,0,262159,0,2684355263,953122042,22,0,
110,Droid Serif,Bold,DroidSerif-Bold.ttf,0,Droid Serif,DroidSerif-Bold,Droid Serif Bold,2,Droid Serif,DroidSerif-Bold,0,700,262146,536871327,0,3758097135,1073750107,40,0,
111,Droid Serif,Bold Italic,DroidSerif-BoldItalic.ttf,0,Droid Serif,DroidSerif-BoldItalic,Droid Serif Bold Italic,2,Droid Serif,DroidSerif-BoldItalic,1,700,262210,536871327,0,3758097135,1073750107,40,0,
112,Droid Serif,Italic,DroidSerif-Italic.ttf,0,Droid Serif,DroidSerif-Italic,Droid Serif Italic,2,Droid Serif,DroidSerif-Italic,1,400,66,536871327,0,3758097135,1073750107,40,0,
113,Droid Serif,Regular,DroidSerif.ttf,0,Droid Serif,DroidSerif,Droid Serif,2,Droid Serif,DroidSerif,0,400,2,536871327,0,3758097135,1073750107,40,0,
114,Dubai,Bold,DUBAI-BOLD.TTF,0,Dubai,Dubai-Bold,Dubai Bold,2,Dubai,Dubai-Bold,0,700,262144,536870977,0,2147491943,2147483648,8,0,
115,Dubai Light,Regular,DUBAI-LIGHT.TTF,0,Dubai Light,Dubai-Light,Dubai Light,2,Dubai Light,Dubai-Light,0,300,0,536870977,0,2147491943,2147483648,8,0,
116,Dubai Medium,Regular,DUBAI-MEDIUM.TTF,0,Dubai Medium,Dubai-Medium,Dubai Medium,2,Dubai Medium,Dubai-Medium,0,500,0,536870977,0,2147491943,2147483648,8,0,
117,Dubai,Regular,DUBAI-REGULAR.TTF,0,Dubai,Dubai-Regular,Dubai,2,Dubai,Dubai-Regular,0,400,0,536870977,0,2147491943,2147483648,8,0,
118,Ebrima,Regular,ebrima.ttf,0,Ebrima,Ebrima,Ebrima,1,Ebrima,0,400,0,147,0,2684375135,33554497,2048,1028,
119,Ebrima,Bold,ebrimabd.ttf,0,Ebrima,Ebrima-Bold,Ebrima Bold,2,Ebrima,Ebrima-Bold,0,700,262144,147,0,2684375135,33554497,2048,1028,
120,Elephant,Regular,ELEPHNT.TTF,0,Elephant,Elephant-Regular,Elephant,2,Elephant,Elephant-Regular,0,400,2,536870913,0,3,0,0,0,
121,Elephant,Italic,ELEPHNTI.TTF,0,Elephant,Elephant-Italic,Elephant Italic,2,Elephant,Elephant-Italic,1,400,66,536870913,0,3,0,0,0,
122,Engravers MT,Regular,ENGR.TTF,0,Engravers MT,EngraversMT,Engravers MT,2,Engravers MT,EngraversMT,0,500,2,536870913,0,3,0,0,0,
123,Eras Bold ITC,Regular,ERASBD.TTF,0,Eras Bold ITC,ErasITC-Bold,Eras Bold ITC,2,Eras Bold ITC,ErasITC-Bold,0,700,262144,536870913,0,3,0,0,0,
124,Eras Demi ITC,Regular,ERASDEMI.TTF,0,Eras Demi ITC,ErasITC-Demi,Eras Demi ITC,2,Eras Demi ITC,ErasITC-Demi,0,400,0,536870913,0,3,0,0,0,
125,Eras Light ITC,Regular,ERASLGHT.TTF,0,Eras Light ITC,ErasITC-Light,Eras Light ITC,2,Eras Light ITC,ErasITC-Light,0,400,0,536870913,0,3,0,0,0,
126,Eras Medium ITC,Regular,ERASMD.TTF,0,Eras Medium ITC,ErasITC-Medium,Eras Medium ITC,2,Eras Medium ITC,ErasITC-Medium,0,400,0,536870913,0,3,0,0,0,
127,Felix Titling,Regular,FELIXTI.TTF,0,Felix Titling,FelixTitlingMT,Felix Titling,2,Felix Titling,FelixTitlingMT,0,400,0,536870913,0,3,0,0,0,
128,Forte,Regular,FORTE.TTF,0,Forte,ForteMT,Forte,2,Forte,ForteMT,0,400,0,536870913,0,3,0,0,0,
129,Franklin Gothic Book,Regular,FRABK.TTF,0,Franklin Gothic Book,FranklinGothic-Book,Franklin Gothic Book,2,Franklin Gothic Book,FranklinGothic-Book,0,400,0,536871071,3755409408,647,0,0,0,
130,Franklin Gothic Book,Italic,FRABKIT.TTF,0,Franklin Gothic Book,FranklinGothic-BookItalic,Franklin Gothic Book Italic,2,Franklin Gothic Book,FranklinGothic-BookItalic,1,400,64,536871071,3755409408,647,0,0,0,
131,Franklin Gothic Demi,Regular,FRADM.TTF,0,Franklin Gothic Demi,FranklinGothic-Demi,Franklin Gothic Demi,2,Franklin Gothic Demi,FranklinGothic-Demi,0,400,0,536871071,3755409408,647,0,0,0,
132,Franklin Gothic Demi Cond,Regular,FRADMCN.TTF,0,Franklin Gothic Demi Cond,FranklinGothic-DemiCond,Franklin Gothic Demi Cond,2,Franklin Gothic Demi Cond,FranklinGothic-DemiCond,0,400,0,536871071,3755409408,647,0,0,0,
133,Franklin Gothic Demi,Italic,FRADMIT.TTF,0,Franklin Gothic Demi,FranklinGothic-DemiItalic,Franklin Gothic Demi Italic,2,Franklin Gothic Demi,FranklinGothic-DemiItalic,1,400,64,536871071,3755409408,647,0,0,0,
